"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"SYT7"	"SERPINE2"	"IFNG"	"IFNG"	0	"AL133284.1"	"LINC01077"	"WSCD2"	"FBXO2"	"FABP7"	"HECW1"	"CP"	"PROM2"	"GAD1"	"SNAP25"	"DPT"	"LINC02384"	"TRAV9.2"	"SH3GL2"	"LINC02384"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"INSRR"
"EHD2"	"APLN"	"FABP7"	"FABP7"	0	"RNY1"	"PLVAP"	"GPC4"	"IFNG"	"IFNG"	"AC007342.5"	"RNU1.14P"	"ANO2"	"AC005082.1"	"AL096799.1"	"FAM163A"	"AF186192.2"	"LINC01077"	"NKAIN1"	"GPR182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FCAMR"
"INSRR"	"KCNJ13"	"ADRB1"	"ADRB1"	0	"H4C8"	"OLFML2A"	"CST7"	"HSPB7"	"EGLN3"	"ADAM18"	"DMRT2"	"LINC01322"	"RNU6.117P"	"HECW1"	"GNLY"	"SLC38A4"	"LHFPL3.AS2"	"PLPPR1"	"RNU5B.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LHFPL3.AS2"
"ADRB1"	"OSTM1.AS1"	"HSPB7"	"HSPB7"	0	"KCNJ13"	"AC114803.1"	"SEMA5B"	"EGLN3"	"HSPB7"	"AL353801.1"	"AC084759.3"	"OLIG1"	"TCL6"	"OXGR1"	"Z99289.2"	"PRRX1"	"NFASC"	"LINC01587"	"CLCNKB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AFAP1L2"
"CP"	"GPR182"	"EGLN3"	"EGLN3"	0	"CA9"	"PCSK6"	"LINC01587"	"APLN"	"ADRB1"	"CYP4A22"	"MUC12"	"TRPM5"	"TRBV28"	"CXCL9"	"GABRD"	"GALR1"	"PPDPFL"	"RHBG"	"MAL"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GMNC"
"ANO2"	"AFAP1L2"	"FASLG"	"FASLG"	0	"RNU1.14P"	"EGLN3"	"NKAIN1"	"FASLG"	"SLC6A3"	"DIRAS2"	"NDNF"	"VWCE"	"SLC9A4"	"AC084759.3"	"AC011352.3"	"PPDPFL"	"MYEOV"	"LINC02384"	"LINC01587"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KISS1R"
"PTPRN"	"AP005131.4"	"SLC6A3"	"SLC6A3"	0	"EHD2"	"AC010655.2"	"ANGPT2"	"SLC6A3"	"APLN"	"AC108860.2"	"ANGPTL3"	"CXCL11"	"AP005131.1"	"KIF6"	"CYS1"	"AC084759.3"	"LDLRAD4.AS1"	"PLVAP"	"RTP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM83B"
"RIMBP2"	"AL391845.2"	"IL13RA2"	"IL13RA2"	0	"AP005131.4"	"ANGPT2"	"UPB1"	"NPTX2"	"HILPDA"	"SNAP25"	"TRAV12.3"	"OSTM1.AS1"	"IYD"	"CKMT1B"	"RNU5B.1"	"FUT3"	"TMEM72"	"LINC01235"	"ADGRF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CA9"
"TRPM5"	"PLA2G4F"	"KISS1R"	"KISS1R"	0	"AC022898.2"	"GPR4"	"FOXF1"	"HILPDA"	"FASLG"	"AC016571.1"	"HSPB7"	"RHBG"	"KISS1R"	"TRBV3.1"	"FOXF1"	"MTND1P23"	"HECW1"	"AL078596.1"	"DLX5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC114803.1"
"WSCD2"	"SYT14"	"HILPDA"	"HILPDA"	0	"MIR3609"	"AFAP1L2"	"IL21R"	"KISS1R"	"KISS1R"	"AL031429.1"	"SERPINE2"	"AL365181.2"	"Z99289.2"	"ACAN"	"CDH8"	"SYT14"	"ADAM18"	"IL13RA2"	"AC019117.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ANGPT2"
"GPC4"	"KIF6"	"CD80"	"CD80"	0	"AC011389.1"	"HSD11B2"	"SCG3"	"RGS5"	"NPTX2"	"TUBB4A"	"OSTM1.AS1"	"SH3GL2"	"RNU1.14P"	"CCDC196"	"LHFPL3.AS2"	"STAC2"	"RNU6.117P"	"SCNN1B"	"LRRTM2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IL13RA2"
"CST7"	"CSPG4"	"MUC13"	"MUC13"	0	"SLC6A3"	"PNCK"	"ESRP1"	"SLC4A1"	"HSD11B2"	"MAPK4"	"AC136601.1"	"SERPINE2"	"TRBV4.1"	"GDF6"	"DAO"	"TRBV3.1"	"SH3GL2"	"SCD5"	"ANO2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CYP4A22"
"SEMA5B"	"SCNN1B"	"GJB1"	"GJB1"	0	"IRX1"	"CKMT1A"	"NEFM"	"INSRR"	"EHD2"	"SLC30A2"	"LGI4"	"SLC1A2"	"AC011352.3"	"CSPG4"	"AFAP1L2"	"OSTM1.AS1"	"AL365181.3"	"FATE1"	"NFASC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"RTP2"
"LINC01587"	"LDLRAD4.AS1"	"APLN"	"APLN"	0	"RNU5B.1"	"FABP7"	"TUBB4A"	"ST8SIA4"	"GJB1"	"TEX11"	"CGNL1"	"AC092535.5"	"NKAIN1"	"GAD1"	"ST8SIA4"	"AC136601.1"	"AL606970.1"	"SIRPG.AS1"	"LINC02747"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SCG3"
"NKAIN1"	"AC114803.1"	"ANGPTL3"	"ANGPTL3"	0	"KCNQ1OT1"	"AL365181.3"	"NKG7"	"CLDN16"	"SLC4A1"	"TRAV12.3"	"LINC01187"	"AC011389.1"	"AC015910.1"	"LINC01077"	"MCHR1"	"AC087045.3"	"SIRPG.AS1"	"CGNL1"	"SLC5A3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADRB1"
"UPB1"	"HSD11B2"	"CTHRC1"	"CTHRC1"	0	"SLC2A3P2"	"C3orf70"	"DLX5"	"EHD2"	"CD80"	"NRARP"	"SLC30A2"	"AC093904.4"	"NPTX2"	"NPTX2"	"CD3E"	"AC010655.2"	"SCNN1B"	"CLVS2"	"LINC02555"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAPK4"
"FOXF1"	"CKMT1A"	"NPTX2"	"NPTX2"	0	"DMRT2"	"RHBG"	"NPTX2"	"HSD11B2"	"RGS5"	"SEMA5B"	"LINC02555"	"LDHD"	"CXCL11"	"CTSW"	"AL031429.1"	"LINC01187"	"SLC5A3"	"KRT7.AS"	"ANGPT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AL606970.1"
